Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
18/02/2026,CMGP GROUP,CMG,385.25,389.0,390.0,385.25,1882,731730.0,30,6613350100.0
17/02/2026,CMGP GROUP,CMG,388.0,394.45,396.95,386.0,12645,4979410.6,135,6706005005.0
16/02/2026,CMGP GROUP,CMG,385.9,398.0,398.0,376.0,16453,6476191.6,154,6766358200.0
13/02/2026,CMGP GROUP,CMG,388.0,385.0,388.0,375.0,44235,17032485.4,89,6545346500.0
12/02/2026,CMGP GROUP,CMG,371.2,387.9,387.9,371.2,30541,11561004.6,98,6594649110.0
11/02/2026,CMGP GROUP,CMG,375.1,380.0,380.0,370.0,2730,1029027.65,67,6460342000.0
10/02/2026,CMGP GROUP,CMG,378.5,378.0,378.5,370.0,3007,1125926.5,71,6426340200.0
09/02/2026,CMGP GROUP,CMG,379.0,378.95,379.0,367.0,1526,572905.25,95,6442491055.0
06/02/2026,CMGP GROUP,CMG,365.0,376.0,376.0,360.0,62614,23145470.65,237,6392338400.0
05/02/2026,CMGP GROUP,CMG,379.0,369.9,379.0,366.0,3606,1337936.15,106,6288632910.0
04/02/2026,CMGP GROUP,CMG,380.0,379.9,380.0,370.2,27123,10304125.95,45,6458641910.0
03/02/2026,CMGP GROUP,CMG,371.4,380.0,382.0,370.5,8391,3128988.65,79,6460342000.0
02/02/2026,CMGP GROUP,CMG,376.0,380.0,380.0,370.0,12829,4852311.85,134,6460342000.0
30/01/2026,CMGP GROUP,CMG,380.2,380.0,384.5,375.0,11480,4363032.1,86,6460342000.0
29/01/2026,CMGP GROUP,CMG,390.0,386.0,394.0,386.0,100749,39268732.85,137,6562347400.0
28/01/2026,CMGP GROUP,CMG,383.2,386.0,395.0,380.2,40888,15785986.15,177,6562347400.0
27/01/2026,CMGP GROUP,CMG,370.0,383.9,383.9,370.0,6221,2365447.8,126,6526645510.0
26/01/2026,CMGP GROUP,CMG,379.0,378.0,379.0,366.0,9958,3724870.95,177,6426340200.0
23/01/2026,CMGP GROUP,CMG,385.7,383.0,385.7,373.0,11425,4364079.2,135,6511344700.0
22/01/2026,CMGP GROUP,CMG,380.0,381.4,388.0,372.0,20890,7977653.25,116,6484143260.0
21/01/2026,CMGP GROUP,CMG,375.0,378.0,378.0,365.0,9680,3650893.3,88,6426340200.0
20/01/2026,CMGP GROUP,CMG,382.0,378.0,382.0,370.0,17132,6383968.5,152,6426340200.0
19/01/2026,CMGP GROUP,CMG,386.0,375.0,386.0,375.0,18338,6894973.8,133,6375337500.0
16/01/2026,CMGP GROUP,CMG,389.9,385.0,389.9,383.0,5593,2154155.55,97,6545346500.0
15/01/2026,CMGP GROUP,CMG,392.0,385.1,396.7,383.0,13028,5045664.1,137,6547046590.0
13/01/2026,CMGP GROUP,CMG,397.0,393.5,400.0,391.5,20415,8121145.4,104,6689854150.0
12/01/2026,CMGP GROUP,CMG,403.4,400.0,403.4,390.0,13921,5550772.1,191,6800360000.0
09/01/2026,CMGP GROUP,CMG,385.0,400.0,400.0,383.5,91876,36551453.65,311,6800360000.0
08/01/2026,CMGP GROUP,CMG,392.5,390.0,393.0,381.1,18321,7067501.55,174,6630351000.0
07/01/2026,CMGP GROUP,CMG,405.0,390.4,405.0,383.0,19670,7734944.2,304,6637151360.0
06/01/2026,CMGP GROUP,CMG,403.1,403.0,411.0,401.0,73659,30090763.5,438,6851362700.0
17/03/2026,CMGP GROUP,CMG,336.5,338.0,338.0,336.25,3584,1211064.65,31,5746304200.0
16/03/2026,CMGP GROUP,CMG,330.0,339.0,339.0,329.0,11443,3786004.55,73,5763305100.0
13/03/2026,CMGP GROUP,CMG,341.0,330.0,346.95,330.0,34116,11326950.8,301,5610297000.0
12/03/2026,CMGP GROUP,CMG,345.0,340.0,345.05,340.0,19479,6643820.3,169,5780306000.0
11/03/2026,CMGP GROUP,CMG,350.1,345.0,363.0,342.0,21222,7351098.25,136,5865310500.0
10/03/2026,CMGP GROUP,CMG,360.0,349.95,369.0,349.95,15378,5402202.75,146,5949464955.0
09/03/2026,CMGP GROUP,CMG,350.0,350.0,350.0,340.0,3744,1300207.2,123,5950315000.0
06/03/2026,CMGP GROUP,CMG,375.0,353.0,379.0,350.1,50873,18075041.95,197,6001317700.0
05/03/2026,CMGP GROUP,CMG,354.0,370.0,370.0,354.0,21572,7921423.8,99,6290333000.0
04/03/2026,CMGP GROUP,CMG,338.0,350.0,360.0,338.0,8083,2816625.95,176,5950315000.0
03/03/2026,CMGP GROUP,CMG,342.0,334.0,350.0,330.0,34201,11459052.1,240,5678300600.0
02/03/2026,CMGP GROUP,CMG,355.0,352.0,365.0,352.0,34085,12066572.05,322,5984316800.0
27/02/2026,CMGP GROUP,CMG,380.0,378.0,380.2,376.0,21337,8072651.2,86,6426340200.0
26/02/2026,CMGP GROUP,CMG,381.55,383.0,390.0,380.0,4167,1596370.5,63,6511344700.0
25/02/2026,CMGP GROUP,CMG,381.15,385.0,385.0,381.15,12634,4845680.6,56,6545346500.0
24/02/2026,CMGP GROUP,CMG,389.9,385.0,389.9,380.15,7044,2699792.4,63,6545346500.0
23/02/2026,CMGP GROUP,CMG,383.2,391.0,391.0,380.25,3125,1208533.1,54,6647351900.0
20/02/2026,CMGP GROUP,CMG,382.1,392.95,392.95,382.1,16667,6546365.5,49,6680503655.0
19/02/2026,CMGP GROUP,CMG,388.0,392.0,392.0,380.25,2262,881097.95,48,6664352800.0
18/02/2026,CMGP GROUP,CMG,385.25,389.0,390.0,385.25,1882,731730.0,30,6613350100.0
17/02/2026,CMGP GROUP,CMG,388.0,394.45,396.95,386.0,12645,4979410.6,135,6706005005.0
16/02/2026,CMGP GROUP,CMG,385.9,398.0,398.0,376.0,16453,6476191.6,154,6766358200.0
13/02/2026,CMGP GROUP,CMG,388.0,385.0,388.0,375.0,44235,17032485.4,89,6545346500.0
12/02/2026,CMGP GROUP,CMG,371.2,387.9,387.9,371.2,30541,11561004.6,98,6594649110.0
11/02/2026,CMGP GROUP,CMG,375.1,380.0,380.0,370.0,2730,1029027.65,67,6460342000.0
10/02/2026,CMGP GROUP,CMG,378.5,378.0,378.5,370.0,3007,1125926.5,71,6426340200.0
09/02/2026,CMGP GROUP,CMG,379.0,378.95,379.0,367.0,1526,572905.25,95,6442491055.0
06/02/2026,CMGP GROUP,CMG,365.0,376.0,376.0,360.0,62614,23145470.65,237,6392338400.0
05/02/2026,CMGP GROUP,CMG,379.0,369.9,379.0,366.0,3606,1337936.15,106,6288632910.0
04/02/2026,CMGP GROUP,CMG,380.0,379.9,380.0,370.2,27123,10304125.95,45,6458641910.0
03/02/2026,CMGP GROUP,CMG,371.4,380.0,382.0,370.5,8391,3128988.65,79,6460342000.0
02/02/2026,CMGP GROUP,CMG,376.0,380.0,380.0,370.0,12829,4852311.85,134,6460342000.0
30/01/2026,CMGP GROUP,CMG,380.2,380.0,384.5,375.0,11480,4363032.1,86,6460342000.0
29/01/2026,CMGP GROUP,CMG,390.0,386.0,394.0,386.0,100749,39268732.85,137,6562347400.0
28/01/2026,CMGP GROUP,CMG,383.2,386.0,395.0,380.2,40888,15785986.15,177,6562347400.0
27/01/2026,CMGP GROUP,CMG,370.0,383.9,383.9,370.0,6221,2365447.8,126,6526645510.0
26/01/2026,CMGP GROUP,CMG,379.0,378.0,379.0,366.0,9958,3724870.95,177,6426340200.0
23/01/2026,CMGP GROUP,CMG,385.7,383.0,385.7,373.0,11425,4364079.2,135,6511344700.0
22/01/2026,CMGP GROUP,CMG,380.0,381.4,388.0,372.0,20890,7977653.25,116,6484143260.0
21/01/2026,CMGP GROUP,CMG,375.0,378.0,378.0,365.0,9680,3650893.3,88,6426340200.0
20/01/2026,CMGP GROUP,CMG,382.0,378.0,382.0,370.0,17132,6383968.5,152,6426340200.0
19/01/2026,CMGP GROUP,CMG,386.0,375.0,386.0,375.0,18338,6894973.8,133,6375337500.0
16/01/2026,CMGP GROUP,CMG,389.9,385.0,389.9,383.0,5593,2154155.55,97,6545346500.0
15/01/2026,CMGP GROUP,CMG,392.0,385.1,396.7,383.0,13028,5045664.1,137,6547046590.0
13/01/2026,CMGP GROUP,CMG,397.0,393.5,400.0,391.5,20415,8121145.4,104,6689854150.0
12/01/2026,CMGP GROUP,CMG,403.4,400.0,403.4,390.0,13921,5550772.1,191,6800360000.0
09/01/2026,CMGP GROUP,CMG,385.0,400.0,400.0,383.5,91876,36551453.65,311,6800360000.0
08/01/2026,CMGP GROUP,CMG,392.5,390.0,393.0,381.1,18321,7067501.55,174,6630351000.0
07/01/2026,CMGP GROUP,CMG,405.0,390.4,405.0,383.0,19670,7734944.2,304,6637151360.0
06/01/2026,CMGP GROUP,CMG,403.1,403.0,411.0,401.0,73659,30090763.5,438,6851362700.0
17/03/2026,CMGP GROUP,CMG,336.5,338.0,338.0,336.25,3584,1211064.65,31,5746304200.0
16/03/2026,CMGP GROUP,CMG,330.0,339.0,339.0,329.0,11443,3786004.55,73,5763305100.0
13/03/2026,CMGP GROUP,CMG,341.0,330.0,346.95,330.0,34116,11326950.8,301,5610297000.0
