Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
16/03/2026,SGTM S.A,GTM,695.0,696.0,700.0,690.0,18685,12993791.7,374,41760000000.0
13/03/2026,SGTM S.A,GTM,704.9,690.0,705.0,690.0,501623,350342984.2,941,41400000000.0
12/03/2026,SGTM S.A,GTM,705.0,701.0,709.7,701.0,26778,18839576.0,432,42060000000.0
11/03/2026,SGTM S.A,GTM,707.0,702.0,724.9,702.0,20978,14830877.4,373,42120000000.0
10/03/2026,SGTM S.A,GTM,732.0,700.0,758.9,700.0,30574,21863716.9,609,42000000000.0
09/03/2026,SGTM S.A,GTM,700.0,700.0,715.0,695.0,25355,17757370.2,749,42000000000.0
06/03/2026,SGTM S.A,GTM,760.0,730.0,764.0,720.0,53853,39497716.8,822,43800000000.0
05/03/2026,SGTM S.A,GTM,714.9,745.0,745.0,714.0,44153,32466858.6,687,44700000000.0
04/03/2026,SGTM S.A,GTM,699.0,700.0,720.0,689.0,192870,135951024.4,2195,42000000000.0
03/03/2026,SGTM S.A,GTM,735.0,700.1,740.0,683.0,106748,75213321.2,1430,42006000000.0
02/03/2026,SGTM S.A,GTM,759.0,757.0,780.0,742.0,230544,176665892.9,1336,45420000000.0
27/02/2026,SGTM S.A,GTM,834.9,820.0,835.0,820.0,97861,80882566.1,430,49200000000.0
26/02/2026,SGTM S.A,GTM,829.0,825.0,830.0,821.4,8758,7247474.9,239,49500000000.0
25/02/2026,SGTM S.A,GTM,822.2,830.0,833.0,822.0,8289,6869659.5,261,49800000000.0
24/02/2026,SGTM S.A,GTM,820.0,828.0,829.5,820.0,25145,20769421.4,257,49680000000.0
23/02/2026,SGTM S.A,GTM,826.1,825.0,830.0,825.0,19532,16133295.7,232,49500000000.0
20/02/2026,SGTM S.A,GTM,829.0,838.0,838.0,823.1,13245,11034218.5,248,50280000000.0
19/02/2026,SGTM S.A,GTM,830.0,835.0,835.0,820.1,11457,9502500.7,263,50100000000.0
18/02/2026,SGTM S.A,GTM,830.0,830.1,835.0,830.0,6865,5699326.8,261,49806000000.0
17/02/2026,SGTM S.A,GTM,840.0,830.0,845.0,830.0,10109,8440194.6,319,49800000000.0
16/02/2026,SGTM S.A,GTM,840.0,848.0,848.0,830.1,225511,187447154.0,467,50880000000.0
13/02/2026,SGTM S.A,GTM,832.1,850.0,850.0,826.0,43753,36894643.4,699,51000000000.0
12/02/2026,SGTM S.A,GTM,820.0,845.0,845.0,810.5,23890,19840863.6,650,50700000000.0
11/02/2026,SGTM S.A,GTM,810.0,820.0,820.0,810.0,7372,5985428.0,303,49200000000.0
10/02/2026,SGTM S.A,GTM,811.0,818.0,824.5,808.0,32279,26370685.3,422,49080000000.0
09/02/2026,SGTM S.A,GTM,826.0,827.0,832.0,816.0,9098,7492944.4,412,49620000000.0
06/02/2026,SGTM S.A,GTM,805.0,835.0,835.0,795.0,56015,45608334.5,1166,50100000000.0
05/02/2026,SGTM S.A,GTM,815.0,816.0,830.0,815.0,32861,26937881.6,532,48960000000.0
04/02/2026,SGTM S.A,GTM,817.1,819.0,830.0,817.1,21009,17224240.2,350,49140000000.0
03/02/2026,SGTM S.A,GTM,824.0,825.0,838.0,820.3,13774,11380948.3,402,49500000000.0
02/02/2026,SGTM S.A,GTM,840.0,835.1,841.0,800.0,15663,12956581.0,602,50106000000.0


















