Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
26/02/2026,MAGHREBAIL,MAB,-,929.0,-,-,-,-,-,1285905078.0
25/02/2026,MAGHREBAIL,MAB,-,929.0,-,-,-,-,-,1285905078.0
24/02/2026,MAGHREBAIL,MAB,929.0,929.0,929.0,929.0,1,929.0,1,1285905078.0
23/02/2026,MAGHREBAIL,MAB,-,910.0,-,-,-,-,-,1259605620.0
20/02/2026,MAGHREBAIL,MAB,-,910.0,-,-,-,-,-,1259605620.0
19/02/2026,MAGHREBAIL,MAB,-,910.0,-,-,-,-,-,1259605620.0
18/02/2026,MAGHREBAIL,MAB,910.0,910.0,910.0,910.0,6,5460.0,2,1259605620.0
17/02/2026,MAGHREBAIL,MAB,918.8,918.8,918.8,918.8,60,55128.0,2,1271786421.6
16/02/2026,MAGHREBAIL,MAB,-,926.7,-,-,-,-,-,1282721459.4
13/02/2026,MAGHREBAIL,MAB,926.7,926.7,926.7,926.7,1,926.7,1,1282721459.4
12/02/2026,MAGHREBAIL,MAB,927.0,927.0,927.0,927.0,8,7416.0,2,1283136714.0
11/02/2026,MAGHREBAIL,MAB,-,910.0,-,-,-,-,-,1259605620.0
10/02/2026,MAGHREBAIL,MAB,-,910.0,-,-,-,-,-,1259605620.0
09/02/2026,MAGHREBAIL,MAB,910.0,910.0,910.0,910.0,20,18200.0,1,1259605620.0
06/02/2026,MAGHREBAIL,MAB,900.0,900.0,900.0,900.0,2,1800.0,1,1245763800.0
05/02/2026,MAGHREBAIL,MAB,890.1,890.1,890.1,890.1,3,2670.3,1,1232060398.2
04/02/2026,MAGHREBAIL,MAB,877.0,877.0,877.0,877.0,230,201710.0,12,1213927614.0
03/02/2026,MAGHREBAIL,MAB,924.9,924.9,924.9,924.9,10,9249.0,2,1280229931.8
02/02/2026,MAGHREBAIL,MAB,-,900.8,-,-,-,-,-,1246871145.6
30/01/2026,MAGHREBAIL,MAB,-,900.8,-,-,-,-,-,1246871145.6
29/01/2026,MAGHREBAIL,MAB,900.8,900.8,900.8,900.8,1,900.8,1,1246871145.6
28/01/2026,MAGHREBAIL,MAB,900.7,900.7,900.7,900.7,15,13510.5,3,1246732727.4
27/01/2026,MAGHREBAIL,MAB,-,920.0,-,-,-,-,-,1273447440.0
26/01/2026,MAGHREBAIL,MAB,920.0,920.0,920.0,920.0,39,35880.0,2,1273447440.0
23/01/2026,MAGHREBAIL,MAB,945.0,945.0,945.0,945.0,10,9450.0,4,1308051990.0
22/01/2026,MAGHREBAIL,MAB,898.5,898.5,898.5,898.5,10,8985.0,4,1243687527.0
21/01/2026,MAGHREBAIL,MAB,856.4,856.4,856.4,856.4,753,644869.2,25,1185413464.8
20/01/2026,MAGHREBAIL,MAB,-,911.0,-,-,-,-,-,1260989802.0
19/01/2026,MAGHREBAIL,MAB,911.0,911.0,911.0,911.0,40,36440.0,5,1260989802.0
16/01/2026,MAGHREBAIL,MAB,911.0,911.0,911.0,911.0,57,51927.0,6,1260989802.0
15/01/2026,MAGHREBAIL,MAB,910.0,910.0,910.0,910.0,47,42770.0,5,1259605620.0
13/01/2026,MAGHREBAIL,MAB,910.0,910.0,910.0,910.0,139,126490.0,8,1259605620.0
12/01/2026,MAGHREBAIL,MAB,910.0,910.0,910.0,910.0,183,166530.0,9,1259605620.0
09/01/2026,MAGHREBAIL,MAB,912.0,912.0,912.0,912.0,141,128592.0,10,1262373984.0
08/01/2026,MAGHREBAIL,MAB,912.0,912.0,912.0,912.0,58,52896.0,4,1262373984.0
07/01/2026,MAGHREBAIL,MAB,912.0,912.0,912.0,912.0,79,72048.0,10,1262373984.0
06/01/2026,MAGHREBAIL,MAB,912.0,912.0,912.0,912.0,385,351120.0,16,1262373984.0
17/03/2026,MAGHREBAIL,MAB,-,924.0,-,-,-,-,-,1278984168.0
16/03/2026,MAGHREBAIL,MAB,-,924.0,-,-,-,-,-,1278984168.0
13/03/2026,MAGHREBAIL,MAB,-,924.0,-,-,-,-,-,1278984168.0
12/03/2026,MAGHREBAIL,MAB,-,924.0,-,-,-,-,-,1278984168.0
11/03/2026,MAGHREBAIL,MAB,-,924.0,-,-,-,-,-,1278984168.0
10/03/2026,MAGHREBAIL,MAB,924.0,924.0,924.0,924.0,1,924.0,1,1278984168.0
09/03/2026,MAGHREBAIL,MAB,900.0,900.0,900.0,900.0,10,9000.0,1,1245763800.0
06/03/2026,MAGHREBAIL,MAB,-,907.0,-,-,-,-,-,1255453074.0
05/03/2026,MAGHREBAIL,MAB,-,907.0,-,-,-,-,-,1255453074.0
04/03/2026,MAGHREBAIL,MAB,907.0,907.0,907.0,907.0,3,2721.0,1,1255453074.0
03/03/2026,MAGHREBAIL,MAB,856.0,856.0,856.0,856.0,102,87312.0,11,1184859792.0
02/03/2026,MAGHREBAIL,MAB,910.0,910.0,910.0,910.0,25,22750.0,4,1259605620.0
27/02/2026,MAGHREBAIL,MAB,929.9,929.9,929.9,929.9,2,1859.8,2,1287150841.8
26/02/2026,MAGHREBAIL,MAB,-,929.0,-,-,-,-,-,1285905078.0
25/02/2026,MAGHREBAIL,MAB,-,929.0,-,-,-,-,-,1285905078.0
24/02/2026,MAGHREBAIL,MAB,929.0,929.0,929.0,929.0,1,929.0,1,1285905078.0
11/12/2025,MAGHREBAIL,MAB,905.0,905.0,905.0,905.0,21,19005.0,5,1252684710.0
10/12/2025,MAGHREBAIL,MAB,926.0,926.0,926.0,926.0,6,5556.0,2,1281752532.0
09/12/2025,MAGHREBAIL,MAB,-,923.0,-,-,-,-,-,1277599986.0
08/12/2025,MAGHREBAIL,MAB,-,923.0,-,-,-,-,-,1277599986.0
05/12/2025,MAGHREBAIL,MAB,-,923.0,-,-,-,-,-,1277599986.0
04/12/2025,MAGHREBAIL,MAB,-,923.0,-,-,-,-,-,1277599986.0
03/12/2025,MAGHREBAIL,MAB,923.0,923.0,923.0,923.0,1,923.0,1,1277599986.0
02/12/2025,MAGHREBAIL,MAB,920.0,920.0,920.0,920.0,3,2760.0,1,1273447440.0
01/12/2025,MAGHREBAIL,MAB,950.0,950.0,950.0,950.0,3,2850.0,2,1314972900.0
28/11/2025,MAGHREBAIL,MAB,-,918.0,-,-,-,-,-,1270679076.0
27/11/2025,MAGHREBAIL,MAB,918.0,918.0,918.0,918.0,4,3672.0,1,1270679076.0
26/11/2025,MAGHREBAIL,MAB,917.0,917.0,917.0,917.0,37,33929.0,3,1269294894.0
25/11/2025,MAGHREBAIL,MAB,917.0,917.0,917.0,917.0,1,917.0,1,1269294894.0
24/11/2025,MAGHREBAIL,MAB,955.0,955.0,955.0,955.0,17,16235.0,3,1321893810.0
21/11/2025,MAGHREBAIL,MAB,917.0,917.0,917.0,917.0,1,917.0,1,1269294894.0
20/11/2025,MAGHREBAIL,MAB,920.2,920.2,920.2,920.2,14,12882.8,4,1273724276.4
19/11/2025,MAGHREBAIL,MAB,923.0,923.0,923.0,923.0,2,1846.0,2,1277599986.0
17/11/2025,MAGHREBAIL,MAB,-,926.0,-,-,-,-,-,1281752532.0
14/11/2025,MAGHREBAIL,MAB,-,926.0,-,-,-,-,-,1281752532.0
13/11/2025,MAGHREBAIL,MAB,-,926.0,-,-,-,-,-,1281752532.0
12/11/2025,MAGHREBAIL,MAB,926.0,926.0,926.0,926.0,4,3704.0,2,1281752532.0
11/11/2025,MAGHREBAIL,MAB,-,926.0,-,-,-,-,-,1281752532.0
10/11/2025,MAGHREBAIL,MAB,926.0,926.0,926.0,926.0,1,926.0,1,1281752532.0
07/11/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
05/11/2025,MAGHREBAIL,MAB,945.0,945.0,945.0,945.0,1,945.0,1,1308051990.0
04/11/2025,MAGHREBAIL,MAB,-,944.0,-,-,-,-,-,1306667808.0
03/11/2025,MAGHREBAIL,MAB,944.0,944.0,944.0,944.0,1,944.0,1,1306667808.0
31/10/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
30/10/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
29/10/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
28/10/2025,MAGHREBAIL,MAB,945.0,945.0,945.0,945.0,7,6615.0,1,1308051990.0
27/10/2025,MAGHREBAIL,MAB,-,949.0,-,-,-,-,-,1313588718.0
24/10/2025,MAGHREBAIL,MAB,-,949.0,-,-,-,-,-,1313588718.0
23/10/2025,MAGHREBAIL,MAB,-,949.0,-,-,-,-,-,1313588718.0
05/01/2026,MAGHREBAIL,MAB,915.0,915.0,915.0,915.0,149,136335.0,6,1266526530.0
02/01/2026,MAGHREBAIL,MAB,939.0,939.0,939.0,939.0,21,19719.0,4,1299746898.0
31/12/2025,MAGHREBAIL,MAB,943.0,943.0,943.0,943.0,5,4715.0,3,1305283626.0
30/12/2025,MAGHREBAIL,MAB,-,943.0,-,-,-,-,-,1305283626.0
29/12/2025,MAGHREBAIL,MAB,-,943.0,-,-,-,-,-,1305283626.0
26/12/2025,MAGHREBAIL,MAB,-,943.0,-,-,-,-,-,1305283626.0
25/12/2025,MAGHREBAIL,MAB,943.0,943.0,943.0,943.0,6,5658.0,2,1305283626.0
24/12/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
23/12/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
22/12/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
19/12/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
18/12/2025,MAGHREBAIL,MAB,-,945.0,-,-,-,-,-,1308051990.0
