Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
13/03/2026,OULMES,OUL,-,1238.0,-,-,-,-,-,2451240000.0
12/03/2026,OULMES,OUL,-,1238.0,-,-,-,-,-,2451240000.0
11/03/2026,OULMES,OUL,-,1238.0,-,-,-,-,-,2451240000.0
10/03/2026,OULMES,OUL,1238.0,1238.0,1238.0,1238.0,10,12380.0,2,2451240000.0
09/03/2026,OULMES,OUL,1168.0,1168.0,1168.0,1168.0,5,5840.0,1,2312640000.0
06/03/2026,OULMES,OUL,1237.0,1237.0,1237.0,1237.0,3,3711.0,1,2449260000.0
05/03/2026,OULMES,OUL,-,1167.0,-,-,-,-,-,2310660000.0
04/03/2026,OULMES,OUL,-,1167.0,-,-,-,-,-,2310660000.0
03/03/2026,OULMES,OUL,1167.0,1167.0,1167.0,1167.0,3,3501.0,1,2310660000.0
02/03/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
27/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
26/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
25/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
24/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
23/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
20/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
19/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
18/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
17/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
16/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
13/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
12/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
11/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
10/02/2026,OULMES,OUL,-,1235.0,-,-,-,-,-,2445300000.0
09/02/2026,OULMES,OUL,1235.0,1235.0,1235.0,1235.0,2,2470.0,2,2445300000.0
06/02/2026,OULMES,OUL,1235.0,1235.0,1235.0,1235.0,9,11115.0,2,2445300000.0
05/02/2026,OULMES,OUL,1235.0,1235.0,1235.0,1235.0,1,1235.0,1,2445300000.0
04/02/2026,OULMES,OUL,1235.0,1235.0,1235.0,1235.0,1,1235.0,1,2445300000.0
03/02/2026,OULMES,OUL,1166.0,1166.0,1166.0,1166.0,6,6996.0,4,2308680000.0
02/02/2026,OULMES,OUL,1186.0,1186.0,1186.0,1186.0,1,1186.0,1,2348280000.0
