Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
11/03/2026,DISWAY,DWY,814.0,811.0,814.0,809.0,68,55291.0,10,1529352982.0
10/03/2026,DISWAY,DWY,822.0,760.6,868.9,760.6,703,539937.2,50,1434310577.2
09/03/2026,DISWAY,DWY,820.0,845.0,845.0,815.0,98,80415.0,10,1593468890.0
06/03/2026,DISWAY,DWY,845.0,844.0,845.0,825.0,128,108004.0,9,1591583128.0
05/03/2026,DISWAY,DWY,840.0,845.0,845.0,830.0,102,85994.8,9,1593468890.0
04/03/2026,DISWAY,DWY,790.0,844.0,849.0,790.0,303,243841.8,34,1591583128.0
03/03/2026,DISWAY,DWY,877.0,869.9,877.0,836.0,218,188889.0,12,1640424363.8
02/03/2026,DISWAY,DWY,837.1,880.0,880.0,830.0,97,81835.2,15,1659470560.0
27/02/2026,DISWAY,DWY,878.0,880.0,880.0,878.0,33,28989.6,6,1659470560.0
26/02/2026,DISWAY,DWY,842.0,879.0,879.0,842.0,110,92990.0,15,1657584798.0
25/02/2026,DISWAY,DWY,862.0,845.0,862.0,845.0,295,249868.1,17,1593468890.0
24/02/2026,DISWAY,DWY,-,883.0,-,-,-,-,-,1665127846.0
23/02/2026,DISWAY,DWY,860.2,883.0,883.0,860.2,19,16670.8,3,1665127846.0
20/02/2026,DISWAY,DWY,880.0,860.1,880.0,860.1,278,240463.7,9,1621943896.2
19/02/2026,DISWAY,DWY,858.2,880.0,880.0,858.2,73,62975.6,7,1659470560.0
18/02/2026,DISWAY,DWY,887.0,880.0,887.0,865.0,37,32500.9,9,1659470560.0
17/02/2026,DISWAY,DWY,885.0,885.0,885.0,885.0,10,8850.0,2,1668899370.0
16/02/2026,DISWAY,DWY,887.0,880.0,887.0,880.0,19,16727.0,5,1659470560.0
13/02/2026,DISWAY,DWY,885.0,885.0,887.0,885.0,85,75257.0,12,1668899370.0
12/02/2026,DISWAY,DWY,885.0,884.0,885.0,866.0,73,64504.7,17,1667013608.0
11/02/2026,DISWAY,DWY,881.9,880.0,885.0,880.0,112,99030.8,8,1659470560.0
10/02/2026,DISWAY,DWY,840.0,836.0,883.9,836.0,144,120523.8,12,1576497032.0
09/02/2026,DISWAY,DWY,884.0,884.0,884.0,880.0,825,728896.0,10,1667013608.0
06/02/2026,DISWAY,DWY,880.0,880.0,880.0,878.0,39,34316.0,9,1659470560.0
05/02/2026,DISWAY,DWY,879.0,885.0,885.0,879.0,126,111364.0,5,1668899370.0
04/02/2026,DISWAY,DWY,879.0,879.0,879.0,879.0,4,3516.0,1,1657584798.0
03/02/2026,DISWAY,DWY,-,880.0,-,-,-,-,-,1659470560.0
02/02/2026,DISWAY,DWY,-,880.0,-,-,-,-,-,1659470560.0
30/01/2026,DISWAY,DWY,888.0,880.0,888.0,880.0,7,6168.0,2,1659470560.0
29/01/2026,DISWAY,DWY,-,889.0,-,-,-,-,-,1676442418.0
28/01/2026,DISWAY,DWY,889.0,889.0,889.0,889.0,1,889.0,1,1676442418.0
27/01/2026,DISWAY,DWY,833.0,886.0,888.0,833.0,274,241922.0,12,1670785132.0
26/01/2026,DISWAY,DWY,829.2,887.9,888.0,829.2,17,14683.7,3,1674368079.8
23/01/2026,DISWAY,DWY,826.3,887.0,887.0,826.3,37,32515.5,8,1672670894.0
22/01/2026,DISWAY,DWY,852.0,889.0,889.0,852.0,5,4334.0,3,1676442418.0
21/01/2026,DISWAY,DWY,892.0,892.0,892.0,892.0,5,4460.0,1,1682099704.0
20/01/2026,DISWAY,DWY,888.0,890.0,895.0,820.0,549,474103.0,29,1678328180.0
19/01/2026,DISWAY,DWY,897.0,871.0,897.0,852.0,20,17244.0,7,1642498702.0
16/01/2026,DISWAY,DWY,-,900.0,-,-,-,-,-,1697185800.0
15/01/2026,DISWAY,DWY,-,900.0,-,-,-,-,-,1697185800.0
13/01/2026,DISWAY,DWY,880.0,900.0,900.0,820.0,126,108047.7,18,1697185800.0
12/01/2026,DISWAY,DWY,895.0,895.0,895.0,895.0,318,284610.0,6,1687756990.0
09/01/2026,DISWAY,DWY,894.0,895.0,895.0,890.0,903,807809.8,13,1687756990.0
08/01/2026,DISWAY,DWY,880.7,893.0,895.0,880.0,99,87317.2,10,1683985466.0
07/01/2026,DISWAY,DWY,880.0,898.9,900.0,880.0,59,52688.7,12,1695111461.8
06/01/2026,DISWAY,DWY,902.8,900.0,902.8,900.0,161,144956.0,7,1697185800.0
17/03/2026,DISWAY,DWY,752.0,754.9,754.9,752.0,59,44524.3,4,1423561733.8
16/03/2026,DISWAY,DWY,762.0,752.9,762.3,744.0,370,276820.4,55,1419790209.8
13/03/2026,DISWAY,DWY,800.0,744.0,820.0,744.0,5575,4288511.4,139,1403006928.0
12/03/2026,DISWAY,DWY,800.0,825.0,830.0,800.0,322,263945.5,12,1555753650.0
29/12/2025,DISWAY,DWY,870.2,891.2,896.0,865.0,19,16713.8,8,1680591094.4
26/12/2025,DISWAY,DWY,870.0,885.0,896.9,870.0,28,24608.8,7,1668899370.0
25/12/2025,DISWAY,DWY,890.0,867.0,890.0,864.0,190,165277.2,10,1634955654.0
24/12/2025,DISWAY,DWY,861.0,890.0,890.0,861.0,53,45720.0,8,1678328180.0
23/12/2025,DISWAY,DWY,861.6,880.0,899.9,861.6,561,493607.9,4,1659470560.0
22/12/2025,DISWAY,DWY,907.0,904.0,907.0,900.0,91,82334.0,7,1704728848.0
19/12/2025,DISWAY,DWY,903.9,900.0,907.0,900.0,458,413898.7,8,1697185800.0
18/12/2025,DISWAY,DWY,900.0,903.0,903.0,876.0,382,343971.0,18,1702843086.0
17/12/2025,DISWAY,DWY,880.0,880.0,880.0,880.0,106,93280.0,5,1659470560.0
16/12/2025,DISWAY,DWY,871.0,900.0,900.0,871.0,48,41924.0,6,1697185800.0
15/12/2025,DISWAY,DWY,905.0,900.0,905.0,900.0,167,150335.0,2,1697185800.0
12/12/2025,DISWAY,DWY,880.0,905.0,905.0,880.0,1129,1021658.0,5,1706614610.0
11/12/2025,DISWAY,DWY,-,899.0,-,-,-,-,-,1695300038.0
10/12/2025,DISWAY,DWY,-,899.0,-,-,-,-,-,1695300038.0
09/12/2025,DISWAY,DWY,910.0,899.0,910.0,855.0,12,10623.0,5,1695300038.0
08/12/2025,DISWAY,DWY,-,888.1,-,-,-,-,-,1674745232.2
05/12/2025,DISWAY,DWY,-,888.1,-,-,-,-,-,1674745232.2
04/12/2025,DISWAY,DWY,888.1,888.1,888.1,888.1,67,59502.7,4,1674745232.2
03/12/2025,DISWAY,DWY,886.8,888.1,888.1,886.8,185,164187.0,12,1674745232.2
02/12/2025,DISWAY,DWY,853.0,888.8,888.8,853.0,88,77319.4,10,1676065265.6
01/12/2025,DISWAY,DWY,896.0,896.0,896.0,896.0,5,4480.0,3,1689642752.0
28/11/2025,DISWAY,DWY,-,902.0,-,-,-,-,-,1700957324.0
