Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
17/03/2026,ITISSALAT AL-MAGHRIB,IAM,92.68,92.99,93.0,92.5,109665,10155441.27,178,81747075666.6
16/03/2026,ITISSALAT AL-MAGHRIB,IAM,93.0,92.11,93.39,92.11,32260,2983889.74,229,80973471767.4
13/03/2026,ITISSALAT AL-MAGHRIB,IAM,93.5,92.75,93.5,92.5,196204,18209826.98,301,81536092785.0
12/03/2026,ITISSALAT AL-MAGHRIB,IAM,93.94,92.8,93.94,92.7,164875,15321124.42,223,81580047552.0
11/03/2026,ITISSALAT AL-MAGHRIB,IAM,92.99,93.04,93.49,92.63,222833,20724722.41,193,81791030433.6
10/03/2026,ITISSALAT AL-MAGHRIB,IAM,92.99,92.61,94.0,92.5,552431,51430965.11,314,81413019437.4
09/03/2026,ITISSALAT AL-MAGHRIB,IAM,92.0,90.0,92.0,90.0,164310,14875214.69,869,79118580600.0
06/03/2026,ITISSALAT AL-MAGHRIB,IAM,94.0,92.51,94.97,92.5,429463,39815984.55,655,81325109903.4
05/03/2026,ITISSALAT AL-MAGHRIB,IAM,93.0,93.5,94.87,92.5,614748,57311336.01,638,82195414290.0
04/03/2026,ITISSALAT AL-MAGHRIB,IAM,92.0,92.0,95.0,91.61,824399,76062193.3,1204,80876771280.0
03/03/2026,ITISSALAT AL-MAGHRIB,IAM,95.0,92.0,95.0,92.0,407619,37680451.76,643,80876771280.0
02/03/2026,ITISSALAT AL-MAGHRIB,IAM,97.5,95.0,99.0,95.0,1386631,135895630.74,809,83514057300.0
27/02/2026,ITISSALAT AL-MAGHRIB,IAM,102.1,99.0,102.45,99.0,451998,44995986.1,633,87030438660.0
