Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
27/01/2026,MUTANDIS SCA,MUT,243.0,248.0,248.9,243.0,528,130238.1,41,2293190776.0
26/01/2026,MUTANDIS SCA,MUT,248.0,242.0,250.0,242.0,7308,1784194.5,203,2237710354.0
23/01/2026,MUTANDIS SCA,MUT,252.0,250.0,253.5,249.0,2183,545996.25,133,2311684250.0
22/01/2026,MUTANDIS SCA,MUT,252.0,250.1,253.5,250.1,5648,1419295.75,94,2312608923.7
21/01/2026,MUTANDIS SCA,MUT,252.0,251.05,252.9,250.15,327,82145.95,37,2321393323.85
20/01/2026,MUTANDIS SCA,MUT,254.0,251.2,254.0,250.1,3080,775682.6,116,2322780334.4
19/01/2026,MUTANDIS SCA,MUT,259.0,254.05,259.0,254.0,1144,291914.65,61,2349133534.85
16/01/2026,MUTANDIS SCA,MUT,256.0,254.0,259.5,254.0,3660,938030.8,123,2348671198.0
15/01/2026,MUTANDIS SCA,MUT,258.95,257.0,259.0,257.0,4806,1238641.6,102,2376411409.0
13/01/2026,MUTANDIS SCA,MUT,259.95,257.0,259.95,256.6,1163,300355.55,78,2376411409.0
12/01/2026,MUTANDIS SCA,MUT,259.1,259.5,260.0,257.0,7115,1836555.2,105,2399528251.5
09/01/2026,MUTANDIS SCA,MUT,258.0,259.0,259.0,257.5,4160,1076075.5,63,2394904883.0
08/01/2026,MUTANDIS SCA,MUT,258.9,257.9,258.9,256.5,2240,577413.4,62,2384733472.3
07/01/2026,MUTANDIS SCA,MUT,258.0,258.4,258.7,256.0,1357,348767.1,67,2389356840.8
06/01/2026,MUTANDIS SCA,MUT,254.0,256.5,258.5,254.0,4319,1110009.1,123,2371788040.5
05/01/2026,MUTANDIS SCA,MUT,255.0,254.55,258.9,250.15,7723,1946631.7,165,2353756903.35
16/03/2026,MUTANDIS SCA,MUT,234.0,230.0,236.0,230.0,4183,964658.75,132,2126749510.0
13/03/2026,MUTANDIS SCA,MUT,234.0,232.0,237.0,232.0,4119,958322.8,86,2145242984.0
12/03/2026,MUTANDIS SCA,MUT,237.95,234.0,237.95,232.05,12205,2861144.4,65,2163736458.0
11/03/2026,MUTANDIS SCA,MUT,235.9,231.0,236.95,231.0,3538,819983.05,136,2135996247.0
10/03/2026,MUTANDIS SCA,MUT,235.0,231.0,240.0,231.0,9837,2306346.3,156,2135996247.0
09/03/2026,MUTANDIS SCA,MUT,232.0,230.35,232.0,230.0,55710,12818078.15,309,2129985867.95
06/03/2026,MUTANDIS SCA,MUT,250.0,240.0,250.0,240.0,2487,605553.8,114,2219216880.0
05/03/2026,MUTANDIS SCA,MUT,240.0,243.95,244.0,238.0,5349,1303934.35,67,2255741491.15
04/03/2026,MUTANDIS SCA,MUT,231.0,232.0,245.0,231.0,4880,1154307.1,207,2145242984.0
03/03/2026,MUTANDIS SCA,MUT,235.0,233.0,235.0,226.05,4938,1148365.05,251,2154489721.0
02/03/2026,MUTANDIS SCA,MUT,240.0,238.0,242.95,235.0,119776,28696754.1,414,2200723406.0
27/02/2026,MUTANDIS SCA,MUT,250.0,243.0,250.0,243.0,8644,2108148.8,191,2246957091.0
26/02/2026,MUTANDIS SCA,MUT,254.95,250.0,254.95,249.0,2865,719300.8,104,2311684250.0
25/02/2026,MUTANDIS SCA,MUT,255.0,254.85,255.0,250.0,2501,629553.25,110,2356530924.45
24/02/2026,MUTANDIS SCA,MUT,260.0,251.5,260.0,251.5,6871,1742407.3,134,2325554355.5
23/02/2026,MUTANDIS SCA,MUT,260.0,259.5,262.0,259.0,1835,477802.55,68,2399528251.5
20/02/2026,MUTANDIS SCA,MUT,258.0,258.0,262.0,258.0,1300,337151.9,37,2385658146.0
19/02/2026,MUTANDIS SCA,MUT,262.0,260.0,262.0,257.0,831,216212.4,43,2404151620.0
18/02/2026,MUTANDIS SCA,MUT,260.1,260.0,262.0,260.0,643,167458.2,33,2404151620.0
17/02/2026,MUTANDIS SCA,MUT,260.0,260.0,263.0,258.5,5355,1392589.2,74,2404151620.0
16/02/2026,MUTANDIS SCA,MUT,264.9,260.0,264.9,259.0,7978,2078583.35,97,2404151620.0
13/02/2026,MUTANDIS SCA,MUT,260.0,260.0,261.0,257.0,46417,12017214.65,99,2404151620.0
12/02/2026,MUTANDIS SCA,MUT,258.0,257.5,258.0,255.0,31344,8004805.55,71,2381034777.5
11/02/2026,MUTANDIS SCA,MUT,259.9,255.0,260.0,253.0,5758,1471353.5,67,2357917935.0
10/02/2026,MUTANDIS SCA,MUT,261.8,258.0,261.95,253.0,3169,816788.1,141,2385658146.0
09/02/2026,MUTANDIS SCA,MUT,250.0,260.0,263.0,248.0,13592,3501029.85,283,2404151620.0
06/02/2026,MUTANDIS SCA,MUT,247.9,244.85,247.9,240.0,27565,6622149.95,178,2264063554.45
05/02/2026,MUTANDIS SCA,MUT,249.5,240.0,249.5,240.0,82077,19712885.25,249,2219216880.0
04/02/2026,MUTANDIS SCA,MUT,245.0,247.0,249.9,245.0,878,217249.9,26,2283944039.0
03/02/2026,MUTANDIS SCA,MUT,248.1,245.0,249.9,245.0,2535,625006.8,97,2265450565.0
02/02/2026,MUTANDIS SCA,MUT,243.5,248.5,249.0,243.05,5242,1298169.15,81,2297814144.5
30/01/2026,MUTANDIS SCA,MUT,249.2,242.1,250.0,242.1,4327,1060441.35,150,2238635027.7
29/01/2026,MUTANDIS SCA,MUT,252.95,249.1,252.95,249.0,1867,467081.25,75,2303362186.7
28/01/2026,MUTANDIS SCA,MUT,254.85,250.0,254.9,248.1,1220,306040.65,62,2311684250.0
27/01/2026,MUTANDIS SCA,MUT,243.0,248.0,248.9,243.0,528,130238.1,41,2293190776.0
26/01/2026,MUTANDIS SCA,MUT,248.0,242.0,250.0,242.0,7308,1784194.5,203,2237710354.0
23/01/2026,MUTANDIS SCA,MUT,252.0,250.0,253.5,249.0,2183,545996.25,133,2311684250.0
22/01/2026,MUTANDIS SCA,MUT,252.0,250.1,253.5,250.1,5648,1419295.75,94,2312608923.7
21/01/2026,MUTANDIS SCA,MUT,252.0,251.05,252.9,250.15,327,82145.95,37,2321393323.85
20/01/2026,MUTANDIS SCA,MUT,254.0,251.2,254.0,250.1,3080,775682.6,116,2322780334.4
19/01/2026,MUTANDIS SCA,MUT,259.0,254.05,259.0,254.0,1144,291914.65,61,2349133534.85
16/01/2026,MUTANDIS SCA,MUT,256.0,254.0,259.5,254.0,3660,938030.8,123,2348671198.0
15/01/2026,MUTANDIS SCA,MUT,258.95,257.0,259.0,257.0,4806,1238641.6,102,2376411409.0
13/01/2026,MUTANDIS SCA,MUT,259.95,257.0,259.95,256.6,1163,300355.55,78,2376411409.0
12/01/2026,MUTANDIS SCA,MUT,259.1,259.5,260.0,257.0,7115,1836555.2,105,2399528251.5
09/01/2026,MUTANDIS SCA,MUT,258.0,259.0,259.0,257.5,4160,1076075.5,63,2394904883.0
08/01/2026,MUTANDIS SCA,MUT,258.9,257.9,258.9,256.5,2240,577413.4,62,2384733472.3
07/01/2026,MUTANDIS SCA,MUT,258.0,258.4,258.7,256.0,1357,348767.1,67,2389356840.8
06/01/2026,MUTANDIS SCA,MUT,254.0,256.5,258.5,254.0,4319,1110009.1,123,2371788040.5
05/01/2026,MUTANDIS SCA,MUT,255.0,254.55,258.9,250.15,7723,1946631.7,165,2353756903.35
16/03/2026,MUTANDIS SCA,MUT,234.0,230.0,236.0,230.0,4183,964658.75,132,2126749510.0
13/03/2026,MUTANDIS SCA,MUT,234.0,232.0,237.0,232.0,4119,958322.8,86,2145242984.0
12/03/2026,MUTANDIS SCA,MUT,237.95,234.0,237.95,232.05,12205,2861144.4,65,2163736458.0
11/03/2026,MUTANDIS SCA,MUT,235.9,231.0,236.95,231.0,3538,819983.05,136,2135996247.0
10/03/2026,MUTANDIS SCA,MUT,235.0,231.0,240.0,231.0,9837,2306346.3,156,2135996247.0
09/03/2026,MUTANDIS SCA,MUT,232.0,230.35,232.0,230.0,55710,12818078.15,309,2129985867.95
06/03/2026,MUTANDIS SCA,MUT,250.0,240.0,250.0,240.0,2487,605553.8,114,2219216880.0
